case_id,doc_id,doc_name,mention_id,char_start,char_end,text,entity_type,group_id,canonical_text,notes
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_027,217,232,Fritjof Nansens,LOC,loc_fritjof_nansens,"Fritjof Nansens vei 14, 0369 Oslo",
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_028,299,327,"Klokkersvingen 1, 1580 RYGGE",LOC,loc_klokkersvingen,"Klokkersvingen 1, 1580 Rygge",
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_029,1282,1288,Alfred,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_030,1189,1193,John,PER,per_john_cavendish,John Cavendish,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_031,1329,1334,Denby,PER,per_denby,Mr. Denby,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_032,1336,1340,John,PER,per_john_cavendish,John Cavendish,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_033,1381,1387,Alfred,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_034,1570,1574,John,PER,per_john_cavendish,John Cavendish,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_035,1732,1738,Howard,PER,per_evelyn_howard,Evelyn Howard,
styles_case,b0509ce21c37eb38b38dec55fdc02ad0,156122-00004 - Avhør - John Cavendish.docx,m_036,996,1004,Lawrence,PER,per_lawrence_cavendish,Lawrence Cavendish,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_037,107,117,James Japp,PER,per_james_japp,James Japp,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_038,152,162,Lars Aasen,PER,per_lars_aasen,Lars Aasen,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_039,182,196,Henry Meredith,PER,per_henry_meredith,Henry Meredith,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_040,220,237,Alfred Inglethorp,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_041,525,542,Alfred Inglethorp,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_042,630,646,Emily Inglethorp,PER,per_emily_inglethorp,Emily Inglethorp,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_043,1020,1025,Denby,PER,per_denby,Mr. Denby,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_044,1214,1221,Wilkins,PER,per_wilkins,Dr. Wilkins,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_045,2468,2485,Alfred Inglethorp,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_046,119,132,Scotland Yard,ORG,org_scotland_yard,Scotland Yard,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_047,1601,1612,Sparebanken,ORG,org_sparebanken,Sparebanken,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_048,1647,1650,DNB,ORG,org_dnb,DNB,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_049,59,74,St Mary stasjon,LOC,loc_st_mary_stasjon,St Mary stasjon,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_050,928,943,Fritjof Nansens,LOC,loc_fritjof_nansens,"Fritjof Nansens vei 14, 0369 Oslo",
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_051,1029,1039,Denby Farm,LOC,loc_denby_farm,Denby Farm,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_052,1997,2007,Colchester,LOC,loc_colchester,Colchester,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_053,675,683,46465577,COMM,comm_alfred_phone_no,46465577,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_054,720,732,+66878767665,COMM,comm_alfred_phone_ca,+66878767665,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_055,761,772,Alfred_1212,COMM,comm_alfred_google,Alfred_1212,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_056,815,824,Alf Ingle,COMM,comm_alfred_facebook,Alf Ingle,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_057,853,867,Tesla Models S,VEH,veh_tesla,Tesla Model S EV12122,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_058,869,876,EV12122,VEH,veh_tesla,Tesla Model S EV12122,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_059,1614,1627,9320.63.43245,FIN,fin_sparebanken_konto,9320.63.43245,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_060,1651,1664,2345.22.32123,FIN,fin_dnb_konto,2345.22.32123,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_061,1131,1136,Denby,PER,per_denby,Mr. Denby,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_062,1778,1788,Inglethorp,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_063,2036,2046,Inglethorp,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_064,2463,2467,Japp,PER,per_james_japp,James Japp,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_065,2494,2502,Meredith,PER,per_henry_meredith,Henry Meredith,
styles_case,e6f489851a2379de8ad8105e881650ac,156123-00005 - Avhør - Alfred Inglethorp.docx,m_066,1257,1267,Inglethorp,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_067,125,134,Ola Olsen,PER,per_ola_olsen,Ola Olsen,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_068,165,178,Kari Nordmann,PER,per_kari_nordmann,Kari Nordmann,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_069,265,279,Dorcas Manning,PER,per_dorcas_manning,Dorcas Manning,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_070,370,386,Emily Inglethorp,PER,per_emily_inglethorp,Emily Inglethorp,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_071,626,640,John Cavendish,PER,per_john_cavendish,John Cavendish,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_072,738,748,Bauerstein,PER,per_bauerstein,Dr. Bauerstein,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_073,831,838,Wilkins,PER,per_wilkins,Dr. Wilkins,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_074,892,908,Emily Inglethorp,PER,per_emily_inglethorp,Emily Inglethorp,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_075,978,992,Dorcas Manning,PER,per_dorcas_manning,Dorcas Manning,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_076,1010,1028,Lawrence Cavendish,PER,per_lawrence_cavendish,Lawrence Cavendish,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_077,1043,1057,Mary Cavendish,PER,per_mary_cavendish,Mary Cavendish,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_078,1069,1084,Arthur Hastings,PER,per_arthur_hastings,Arthur Hastings,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_079,1586,1602,Emily Inglethorp,PER,per_emily_inglethorp,Emily Inglethorp,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_080,1926,1936,James Japp,PER,per_james_japp,James Japp,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_081,2056,2065,Ola Olsen,PER,per_ola_olsen,Ola Olsen,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_082,60,75,St Mary stasjon,LOC,loc_st_mary_stasjon,St Mary stasjon,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_083,309,343,"Fridtjof Nansens vei 14, 0369 OSLO",LOC,loc_fritjof_nansens,"Fritjof Nansens vei 14, 0369 Oslo",
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_084,590,605,Styles Court 12,LOC,loc_styles_court,Styles Court,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_085,1941,1954,Scotland Yard,ORG,org_scotland_yard,Scotland Yard,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_086,1389,1399,knust kopp,ITEM,item_kaffekopp,knust kaffekopp,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_087,1524,1537,dokumentmappe,ITEM,item_dokumentmappe,dokumentmappe,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_088,77,95,Essex Constabulary,ORG,org_essex_constabulary,Essex Constabulary,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_089,1002,1006,John,PER,per_john_cavendish,John Cavendish,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_090,1705,1712,Wilkins,PER,per_wilkins,Dr. Wilkins,
styles_case,d59e612e43cde447154e43bce2161bbd,"156126-00001 - Anmeldelse, Anmeldelse.docx",m_091,1480,1487,stearin,ITEM,item_stearin,ringformet flekk av hvit stearin,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_092,109,119,Lars Aasen,PER,per_lars_aasen,Lars Aasen,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_093,139,151,Edel Solheim,PER,per_edel_solheim,Edel Solheim,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_094,171,186,Arthur Hastings,PER,per_arthur_hastings,Arthur Hastings,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_095,660,674,John Cavendish,PER,per_john_cavendish,John Cavendish,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_096,775,793,Lawrence Cavendish,PER,per_lawrence_cavendish,Lawrence Cavendish,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_097,877,885,Lawrence,PER,per_lawrence_cavendish,Lawrence Cavendish,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_098,1050,1066,Emily Inglethorp,PER,per_emily_inglethorp,Emily Inglethorp,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_099,582,590,Hastings,PER,per_arthur_hastings,Arthur Hastings,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_100,1180,1190,Bauerstein,PER,per_bauerstein,Dr. Bauerstein,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_101,841,849,Hastings,PER,per_arthur_hastings,Arthur Hastings,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_102,1415,1432,Alfred Inglethorp,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_103,1087,1095,Hastings,PER,per_arthur_hastings,Arthur Hastings,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_104,63,75,Styles Court,LOC,loc_styles_court,Styles Court,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_105,292,304,Styles Court,LOC,loc_styles_court,Styles Court,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_106,253,259,London,LOC,loc_london,London,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_107,387,408,"Skogsstua, Hammerfest",LOC,loc_hammerfest,"Skogsstua, Hammerfest",
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_108,338,348,907 98 778,COMM,comm_hastings_phone,90798778,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_109,358,376,Arh_Hast@gmail.com,COMM,comm_hastings_email,arh_hast@gmail.com,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_110,954,962,Lawrence,PER,per_lawrence_cavendish,Lawrence Cavendish,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_111,1133,1139,Alfred,PER,per_alfred_inglethorp,Alfred Inglethorp,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_112,1261,1269,Hastings,PER,per_arthur_hastings,Arthur Hastings,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_113,1499,1507,Hastings,PER,per_arthur_hastings,Arthur Hastings,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_114,614,626,Styles Court,LOC,loc_styles_court,Styles Court,
styles_case,6421a53668de2fa8b79bfc89ae4d4d52,156128-00003 - Avhør - Arthur Hastings.docx,m_115,1329,1333,kopp,ITEM,item_kaffekopp,knust kaffekopp,
